"","PC1","PC2","PC3","PC4"
"clz_cl_cmj",0.075334531521289,-0.144929111454136,0.133916477307501,0.314511584417049
"tmp_dc_c11",0.230602243294575,-0.382703413762699,-0.00411062289717157,0.0127775561064928
"pre_mm_c06",-0.276429317853084,-0.0845480738637476,-0.343767726466287,-0.221747685313302
"pre_mm_c09",-0.168163056608863,-0.252743305586142,-0.346088390489474,0.0578370437266364
"pet_mm_uyr",0.218999000292243,-0.348414063923433,0.107456269673725,-0.0210378923757215
"pet_mm_c01",0.133905999422053,-0.484369473885767,0.128613368761218,-0.0221407343030015
"pet_mm_c07",0.0691940080748446,-0.437399993622016,0.188987984344445,0.0221085536003237
"cmi_ix_c04",-0.345618735292843,-0.0380430383699479,-0.228915534957313,-0.0650301164030215
"cmi_ix_c08",-0.344062995110714,-0.156662333034178,-0.0848955416554634,-0.0316967717412156
"snw_pc_uyr",-0.303599572188531,-0.146396601999399,0.148250206481121,0.0258641277024488
"snw_pc_c01",-0.28962016696876,-0.0945937407076505,0.29611575512088,0.0889777719607643
"snw_pc_c02",-0.353684936256333,-0.00786951374292348,0.0923563476605864,0.159073920763383
"snw_pc_c03",-0.284954939518146,-0.0417728512611649,0.132914398881614,0.168401908265734
"snw_pc_c04",-0.151933499221336,-0.00126721519002837,0.271001674191601,-0.145266001139776
"snw_pc_c05",-0.0588396860517729,-0.0873783374717698,-0.163788556122814,-0.526936905566828
"snw_pc_c06",-0.0656136280445925,0.0147981304380995,0.00378481429071675,0.219312164876438
"snw_pc_c07",0.0283972971694135,0.0064223459637681,-0.0354633533170376,-0.0340521237003186
"snw_pc_c08",0.00673154531672514,0.0840595210523512,0.277057925210068,-0.442872808566941
"snw_pc_c09",-0.0330719075085635,0.0319475189781703,0.388299053168215,-0.449116482601869
"snw_pc_c10",-0.113330926920528,0.145342947351518,0.150726473191668,0.0966041133525948
"snw_pc_c11",-0.27969576609509,-0.0472427143763542,0.31754104065419,0.0897704205768728
"glc_cl_cmj",0.14740915212512,0.341561250633559,0.179428465033851,0.127444192731118
