"","PC1","PC2"
"cly_pc_cav",0.315629520427198,-0.00447487054109484
"cly_pc_uav",0.32948465240426,-0.016599994682175
"slt_pc_cav",0.284105659448763,0.335880049427302
"slt_pc_uav",0.29618399588964,0.264797017321978
"soc_th_cav",-0.301127169572556,0.118468228643496
"soc_th_uav",-0.325560155887806,0.0693243313348355
"swc_pc_c03",-0.336864034702284,0.0214475680271203
"swc_pc_c10",-0.329898777167417,0.24189736337998
"lit_cl_cmj",-0.0536485325728882,0.368846066713196
"kar_pc_cse",0.165702545763796,-0.483172684815436
"kar_pc_use",0.21140685486078,-0.399768646561072
"ero_kh_cav",0.234463958175731,0.349048310121187
"ero_kh_uav",0.272759255422532,0.296316845915983
