"","PC1","PC2","PC3"
"LENGTH_KM",0.0347961011600839,-0.0839048725461051,0.186010135947249
"CATCH_SKM",0.0656658930602632,-0.0731650705902203,0.166420156494172
"run_mm_cyr",-0.0732140239344903,-0.111074140241979,-0.079410000065173
"inu_pc_cmn",-0.217728172948529,-0.163404491359045,0.374938849641186
"inu_pc_umn",-0.190696298076959,-0.0486329179895815,0.476476932174627
"inu_pc_clt",-0.342578553320261,-0.194230496727653,0.269266225915773
"inu_pc_ult",-0.239966337729737,0.000921889916163647,0.435653145046442
"lka_pc_cse",-0.0634128203838037,-0.14078994492893,0.0251535668638239
"lka_pc_use",-0.16842001149276,-0.255335188425345,0.0292763126233574
"lkv_mc_usu",-0.313475313488234,-0.270943598944319,-0.293605821353275
"dor_pc_pva",-0.229873666704299,-0.178316220739906,-0.309413188419534
"riv_tc_csu",-0.314064826669977,-0.232419119537737,-0.204942952101697
"riv_tc_usu",-0.306652876553213,-0.182984305726038,-0.23208194516591
"gwt_cm_cav",0.261461212021645,-0.389985628757168,0.0908910848569017
"ele_mt_cmn",0.316454035496573,-0.199185064579124,-0.0079352229817015
"ele_mt_cmx",0.296624433054821,-0.391492141935342,0.100016746520474
"slp_dg_uav",0.145671334178047,-0.473946074076825,-0.0499549788003502
"sgr_dk_rav",0.276628284738042,-0.24717507623769,0.0370659992078281
