"","Eigenvalues","Relative_eig","Broken_stick","Cumul_eig","Cumul_br_stick"
"1",3.50551001451881,0.322283675641986,0.0886041800287584,0.322283675641986,0.0886041800287584
"2",2.46406739853982,0.226537278439357,0.0689963368915035,0.548820954081343,0.157600516920262
"3",1.510431185613,0.138863478434667,0.0591924153228761,0.68768443251601,0.216792932243138
"4",1.04757674511322,0.09631034643571,0.0526564676104578,0.78399477895172,0.269449399853596
"5",0.764891933263903,0.0703213463091571,0.0477545068261441,0.854316125260877,0.31720390667974
"6",0.615521911928419,0.0565888168605629,0.0438329381986931,0.91090494212144,0.361036844878433
"7",0.528301611759651,0.048570103802387,0.0405649643424839,0.959475045923827,0.401601809220917
"8",0.207548127010187,0.0190812101430082,0.0377638438943046,0.978556256066835,0.439365653115222
"9",0.0866683624009754,0.00796796993326866,0.0353128635021478,0.986524226000104,0.474678516617369
"10",0.0375413873883072,0.0034514168455069,0.033134214264675,0.989975642845611,0.507812730882044
"11",0.0273421902228165,0.00251374023426411,0.0311734299509495,0.992489383079875,0.538986160832994
"12",0.019107941372504,0.00175671373180415,0.0293908987566536,0.994246096811679,0.568377059589647
"13",0.011540407303019,0.00106098252996522,0.0277569118285491,0.995307079341644,0.596133971418197
"14",0.00848342627185683,0.000779934956570681,0.0262486162026064,0.996087014298215,0.622382587620803
"15",0.00742607635453165,0.000682726100688382,0.0248480559785167,0.996769740398903,0.64723064359932
"16",0.00520716468238476,0.00047872753652437,0.0235408664360331,0.997248467935428,0.670771510035353
"17",0.00458415563724724,0.000421450380220857,0.0223153762399546,0.997669918315649,0.693086886275307
"18",0.00368308403614798,0.000338609176967657,0.0211619737024691,0.998008527492616,0.714248859977776
"19",0.00261770284583363,0.000240661955435764,0.0200726490837327,0.998249189448052,0.734321509061509
"20",0.00233402602811207,0.000214581753944092,0.0190406573396666,0.998463771201996,0.753362166401176
"21",0.00200306291356275,0.000184154224535502,0.0180602651828039,0.998647925426532,0.77142243158398
"22",0.00181725119887044,0.000167071380059133,0.0171265583667441,0.998814996806591,0.788548989950724
"23",0.00167500201909331,0.000153993514548621,0.0162352927695962,0.998968990321139,0.80478428272032
"24",0.00125886247960523,0.000115735178440405,0.0153827778505851,0.99908472549958,0.820167060570905
"25",0.00102651158363948,9.43736930986406e-05,0.0145657843865328,0.999179099192678,0.834732844957438
"26",0.000919053058767379,8.44943522234437e-05,0.0137814706610426,0.999263593544902,0.84851431561848
"27",0.000884805738352003,8.13457797593392e-05,0.0130273228480713,0.999344939324661,0.861541638466552
"28",0.000810456069524821,7.45103451283879e-05,0.0123011064355803,0.99941944966979,0.873842744902132
"29",0.000738523344888191,6.78971154417461e-05,0.0116008263235355,0.999487346785231,0.885443571225668
"30",0.000666905134201096,6.13128010088839e-05,0.0109246938015612,0.99954865958624,0.896368265027229
"31",0.000607598079794634,5.5860328927375e-05,0.0102710990303194,0.999604519915168,0.906639364057548
"32",0.00055695804814263,5.1204670986636e-05,0.00963858796137568,0.999655724586154,0.916277952018924
"33",0.000515176223176549,4.73634039329611e-05,0.00902584286333647,0.999703087990087,0.92530379488226
"34",0.000477140321622486,4.38665232769567e-05,0.00843166579857117,0.999746954513364,0.933735460680831
"35",0.000382109621462766,3.51297508188954e-05,0.00785496452982838,0.999782084264183,0.94159042521066
"36",0.00037072779454323,3.40833475851416e-05,0.00729474044019252,0.999816167611768,0.948885165650852
"37",0.000303482842196247,2.7901094411995e-05,0.00675007813082433,0.99984406870618,0.955635243781677
"38",0.000300939884377938,2.76673042390123e-05,0.00622013642441204,0.999871736010419,0.961855380206089
"39",0.000284649246743733,2.61696030333222e-05,0.00570414055237901,0.999897905613452,0.967559520758468
"40",0.000218156222970248,2.00564794029479e-05,0.00520137534373145,0.999917962092855,0.972760896102199
"41",0.000201964010119254,1.85678270092071e-05,0.00471117926530008,0.999936529919865,0.977472075367499
"42",0.00016329381064484,1.5012631339303e-05,0.00423293918878167,0.999951542551204,0.981705014556281
"43",0.000130438986548369,1.19920798564868e-05,0.00376608578075179,0.99996353463106,0.985471100337033
"44",0.000114210273724103,1.05000717896776e-05,0.0033100894287226,0.99997403470285,0.988781189765755
"45",8.53197314291731e-05,7.84398177038312e-06,0.00286445663014863,0.999981878684621,0.991645646395904
"46",6.75160686762699e-05,6.20717860960722e-06,0.00242872678265407,0.99998808586323,0.994074373178558
"47",5.73832990013936e-05,5.27560909711759e-06,0.00200246932314853,0.999993361472327,0.996076842501707
"48",3.50222347182973e-05,3.2198152301552e-06,0.00158528117129205,0.999996581287557,0.997662123672999
"49",2.44025351011124e-05,2.24347917272991e-06,0.0011767844392659,0.99999882476673,0.998838908112265
"50",1.19073490964781e-05,1.09471780655918e-06,0.000776624375240292,0.999999919484537,0.999615532487505
"51",8.7577429436192e-07,8.05154620727763e-08,0.000384467512495194,0.999999999999999,1
