"","PCoA1","PCoA2","PCoA3","PCoA4"
"Ameiurus_melas",-0.65892513816246,0.284359750486711,-0.526023783232777,-0.953571918122643
"Ameiurus_natalis",-0.492165972246728,1.34414219256342,0.136913322419126,-0.694156738030603
"Aphredoderus_sayanus",-0.908343110342317,-0.333822870938819,-0.375760347433438,-0.288755331024119
"Campostoma_anomalum",1.00913501989809,0.467144581922382,0.433148395350719,-1.02138583592149
"Campostoma_spadiceum",1.13342924662806,0.218872131954555,0.578207788127935,-0.91889055906467
"Cyprinella_lutrensis",0.216013532422841,-0.225087833662363,0.165843504649832,0.633245940273412
"Cyprinella_venusta",0.429347041839518,0.217409362812624,-0.728494544575936,0.225353790724576
"Cyprinella_whipplei",0.798222979573937,-0.000417992627668164,-0.633364164216344,-0.0564162444045204
"Dorosoma_cepedianum",-0.150258492658115,0.390344368427334,-1.39367386848789,-0.0155825349682337
"Erimyzon_oblongus",-0.101477426188134,1.01613343339142,0.798932669053777,0.615344555423421
"Esox_americanus",-0.561284722827804,-0.39634717960829,-0.760446709450561,-0.117309215072839
"Etheostoma_chlorosoma",-0.24677666864602,-0.866619134875165,0.832957753045751,0.510182709160867
"Etheostoma_gracile",-0.204451150719475,-0.991435503098526,0.777480159314812,0.100033254305856
"Etheostoma_nigrum",-0.382429903598102,-0.0922956854712682,0.577584898923653,0.107411387722271
"Etheostoma_radiosum",0.83771693938485,-1.08667093202645,0.148425407591786,-0.159887259407523
"Etheostoma_spectabile",0.700881708001421,-0.779603679568051,-0.204143938883039,-0.120941907187886
"Fundulus_notatus",-0.210457007122527,-0.106680151607119,0.834988791454201,0.812553333836628
"Fundulus_olivaceus",0.00916275921752391,-0.22888042120354,-0.25840324498322,0.976537450331332
"Gambusia_affinis",-0.466180448623642,0.0586011367896672,0.560360525457728,1.05398282979436
"Ictalurus_punctatus",0.0711548182033676,1.06434759804994,-0.445179792836779,-0.73169598973822
"Labidesthes_sicculus",-0.573195409696319,0.364773782483661,0.747574462537378,0.514202485252726
"Lepomis_cyanellus",-0.822271596003672,-0.270424999189103,0.391772254162512,0.0406609608096165
"Lepomis_gulosus",-1.12582994399169,-0.478703761602881,0.196679767190095,-0.513228163394091
"Lepomis_humilis",-0.630354879469831,-0.275236417529529,0.0538270492695735,0.73287206260857
"Lepomis_macrochirus",-0.802981618179108,0.0469826971703981,-0.979848227881948,-0.798893613882146
"Lepomis_megalotis",-0.304237420105986,0.101536627690318,-0.638295433931141,-0.0116885454446117
"Lepomis_microlophus",-0.751762505508965,0.429794065086387,-0.268623905718939,0.451027044830311
"Luxilus_chrysocephalus",0.20128687133967,1.20340126861366,0.428070895561534,-0.108736393798848
"Lythrurus_snelsoni",0.501672066614465,-0.222199765605664,-0.33995413573717,0.610201573525154
"Lythrurus_umbratilis",0.180520681920504,-0.0499269751773264,-0.141182587371242,0.923759613941174
"Micropterus_punctulatus",-0.702084418850166,-0.558182080390686,0.411405805313606,-0.434724066447216
"Micropterus_salmoides",-0.651302429761319,0.0468854455796975,0.0197219342487937,0.50647784723433
"Minytrema_melanops",0.20648718749421,0.913530412878064,1.13949476500418,-0.00537862953013365
"Moxostoma_duquesnei",0.627324369035086,0.87713245621204,0.197492692691557,-0.252711886415083
"Moxostoma_erythrurum",0.242987144522511,0.902668528656401,0.640512162735153,0.453073978223206
"Notemigonus_crysoleucas",-0.604990184485474,0.0665096240055865,-1.07805552528386,-0.520928914565296
"Notropis_atherinoides",0.221045524535007,0.682708893894573,-1.14767636680027,0.502751195027298
"Notropis_atrocaudalis",0.22217683326513,-0.392351373390942,0.0462399787494827,0.960939817513349
"Notropis_boops",0.445414065881244,-0.142324480130732,-0.306412718778675,0.716720831496843
"Notropis_buchanani",0.251583265085513,0.193300797063101,-0.823171892145675,1.00562778351387
"Notropis_ortenburgeri",0.719109048038301,0.110168304740247,0.100530210526186,0.0926273640004303
"Notropis_stramineus",0.555050745005132,0.134061067123548,-0.747833725669179,0.0988008493844592
"Notropis_suttkusi",0.925480385303186,0.0463162685114405,-0.176717310380954,-0.469636242200962
"Notropis_volucellus",0.122434080905288,0.475296010192006,-0.760914337891105,0.850812769308391
"Noturus_exilis",0.833103799097801,-0.824826602838278,0.413976003124832,-0.408935456895057
"Noturus_gyrinus",-0.588275934263702,-0.46637587516792,-0.310795174207269,-1.20508676853886
"Noturus_nocturnus",-0.0999572909949736,-1.20644163484616,1.06215352508371,-0.84113291988018
"Percina_caprodes",0.653421908834851,-0.475374165230996,0.0738776627044261,-0.789273947725205
"Percina_copelandi",0.353434462990961,-0.601519789535468,-0.453297351581133,0.351875742417294
"Percina_phoxocephala",0.679385062884161,-0.950354878380747,-0.808292252683996,-0.348895488823322
"Percina_sciera",0.716079999378006,-0.899394570595332,-0.169521196239598,-0.256512154902976
"Phenacobius_mirabilis",0.53163458293919,-0.275601863779973,0.770618211193713,0.364677031666961
"Pimephales_notatus",0.31262421012369,1.02779719174136,0.800722845357024,-0.0600789587624159
"Pimephales_promelas",-0.644684169849238,0.387429375826068,0.427810972485093,-0.7204094983107
"Pimephales_vigilax",0.233976007314681,0.605958862796078,0.333137327096313,-1.12610005042531
"Pomoxis_annularis",-1.07074971050431,-0.294091095395429,-0.00662506879930632,-0.0758182268010516
"Pomoxis_nigromaculatus",-1.17024718005195,-0.293599843219733,0.22412442912345,-0.158937269764771
"Semotilus_atromaculatus",-0.0156216148261725,0.107185320031475,0.158121435653503,-0.0260534728757199
